"","Time","niHR","RR"
"1",0,182.926773497935,328.0001
"2",0.3280001,182.926773497935,328.0001
"3",0.7159996,154.639374535276,387.9995
"4",1.124,147.058679354236,408.0004
"5",1.5,159.574468085106,376
"6",1.88,157.894736842105,380
"7",2.268,154.639175257732,388
"8",2.656,154.639175257732,388
"9",3.016,166.666666666667,360
"10",3.415999,150.000375000938,399.999
"11",3.788,161.289889005675,372.001
"12",4.191999,148.515219097077,403.999
"13",4.564,161.289889005675,372.001
"14",4.952,154.639175257732,388
"15",5.344,153.061224489796,392
"16",5.728001,156.249593100018,384.001
"17",6.1,161.290756157947,371.999
"18",6.487999,154.639573813334,387.999000000001
"19",6.888001,149.99925000375,400.002
"20",7.252001,164.835164835165,364
"21",7.628,159.574892486416,375.999
"22",8.016001,154.638776704184,388.000999999999
"23",8.403999,154.639972370991,387.998000000001
"24",8.780001,159.573619289259,376.002
"25",9.167999,154.639972370992,387.998
"26",9.552,156.249593100018,384.001
"27",9.92,163.043478260869,368
"28",10.296,159.574468085107,375.999999999999
"29",10.692,151.515151515151,396.000000000001
"30",11.048,168.539325842697,356
"31",11.42,161.290322580645,372
"32",11.792,161.290322580645,372
"33",12.196,148.514851485149,404
"34",12.568,161.290322580645,372
"35",12.956,154.639175257732,388
"36",13.376,142.857142857143,420
"37",13.752,159.574468085106,376.000000000001
"38",14.128,159.574468085107,375.999999999999
"39",14.524,151.515151515152,395.999999999999
"40",14.896,161.290322580644,372.000000000002
"41",15.26,164.835164835165,363.999999999999
"42",15.644,156.25,384
"43",16.036,153.061224489795,392.000000000001
"44",16.392,168.539325842698,355.999999999998
"45",16.784,153.061224489796,391.999999999999
"46",17.172,154.639175257731,388.000000000002
"47",17.54,163.04347826087,367.999999999999
"48",17.892,170.454545454545,352
"49",18.288,151.515151515151,396.000000000001
"50",18.648,166.666666666667,359.999999999999
"51",19.02,161.290322580645,372
"52",19.432,145.631067961165,411.999999999999
"53",19.752,187.5,320
"54",20.12,163.043478260869,368.000000000002
"55",20.516,151.515151515153,395.999999999997
"56",20.867,170.94017094017,351.000000000003
"57",21.244,159.151193633953,376.999999999999
"58",21.616,161.290322580645,372
"59",21.972,168.539325842696,356.000000000002
"60",22.36,154.639175257733,387.999999999998
"61",22.704,174.418604651162,344.000000000001
"62",23.804,172.413793103449,347.999999999999
"63",24.18,159.574468085106,376.000000000001
"64",24.604,141.509433962264,424
"65",24.92,189.873417721517,316.000000000003
"66",25.328,147.058823529413,407.999999999998
"67",25.692,164.835164835164,364.000000000001
"68",26.072,157.894736842106,379.999999999999
"69",26.476,148.514851485149,404
"70",27.152,154.639175257731,388.000000000002
"71",27.496,174.418604651164,343.999999999998
"72",27.84,174.418604651162,344.000000000001
"73",28.228,154.639175257731,388.000000000002
"74",28.576,172.413793103449,347.999999999999
"75",28.944,163.04347826087,367.999999999999
"76",29.332,154.639175257731,388.000000000002
"77",29.7,163.04347826087,367.999999999999
"78",30.068,163.043478260869,368.000000000002
"79",30.456,154.639175257733,387.999999999998
"80",30.824,163.043478260869,368.000000000002
"81",31.216,153.061224489796,391.999999999999
"82",31.58,164.835164835166,363.999999999997
"83",31.944,164.835164835164,364.000000000001
"84",32.328,156.249999999998,384.000000000004
"85",32.716,154.639175257733,387.999999999998
"86",33.092,159.574468085107,375.999999999998
"87",33.464,161.290322580645,372
"88",33.86,151.515151515151,396.000000000001
"89",34.244,156.25,384
"90",34.632,154.639175257733,387.999999999998
"91",35.008,159.574468085104,376.000000000005
"92",35.372,164.835164835166,363.999999999997
"93",35.744,161.290322580645,372
"94",36.144,150.000000000001,399.999999999999
"95",36.52,159.574468085104,376.000000000005
"96",36.948,140.186915887851,427.999999999997
"97",37.344,151.515151515151,396.000000000001
"98",37.716,161.290322580645,372
"99",38.088,161.290322580645,372
"100",38.48,153.061224489798,391.999999999996
"101",38.868,154.63917525773,388.000000000005
"102",39.24,161.290322580645,372
"103",39.616,159.574468085107,375.999999999998
"104",40.016,150.000000000001,399.999999999999
"105",40.38,164.835164835163,364.000000000004
"106",40.764,156.25,384
"107",41.16,151.515151515154,395.999999999994
"108",41.528,163.043478260869,368.000000000002
