"Time","niHR","RR"
0,182.926773497935,328.0001
0.3280001,182.926773497935,328.0001
0.7159996,154.639374535276,387.9995
1.124,147.058679354236,408.0004
1.5,159.574468085106,376
1.88,157.894736842105,380
2.268,154.639175257732,388
2.656,154.639175257732,388
3.016,166.666666666667,360
3.415999,150.000375000938,399.999
3.788,161.289889005675,372.001
4.191999,148.515219097077,403.999
4.564,161.289889005675,372.001
4.952,154.639175257732,388
5.344,153.061224489796,392
5.728001,156.249593100018,384.001
6.1,161.290756157947,371.999
6.487999,154.639573813334,387.999000000001
6.888001,149.99925000375,400.002
7.252001,164.835164835165,364
7.628,159.574892486416,375.999
8.016001,154.638776704184,388.000999999999
8.403999,154.639972370991,387.998000000001
8.780001,159.573619289259,376.002
9.167999,154.639972370992,387.998
9.552,156.249593100018,384.001
9.92,163.043478260869,368
10.296,159.574468085107,375.999999999999
10.692,151.515151515151,396.000000000001
11.048,168.539325842697,356
11.42,161.290322580645,372
11.792,161.290322580645,372
12.196,148.514851485149,404
12.568,161.290322580645,372
12.956,154.639175257732,388
13.376,142.857142857143,420
13.752,159.574468085106,376.000000000001
14.128,159.574468085107,375.999999999999
14.524,151.515151515152,395.999999999999
14.896,161.290322580644,372.000000000002
15.26,164.835164835165,363.999999999999
15.644,156.25,384
16.036,153.061224489795,392.000000000001
16.392,168.539325842698,355.999999999998
16.784,153.061224489796,391.999999999999
17.172,154.639175257731,388.000000000002
17.54,163.04347826087,367.999999999999
17.892,170.454545454545,352
18.288,151.515151515151,396.000000000001
18.648,166.666666666667,359.999999999999
19.02,161.290322580645,372
19.432,145.631067961165,411.999999999999
19.752,187.5,320
20.12,163.043478260869,368.000000000002
20.516,151.515151515153,395.999999999997
20.867,170.94017094017,351.000000000003
21.244,159.151193633953,376.999999999999
21.616,161.290322580645,372
21.972,168.539325842696,356.000000000002
22.36,154.639175257733,387.999999999998
22.704,174.418604651162,344.000000000001
23.804,172.413793103449,347.999999999999
24.18,159.574468085106,376.000000000001
24.604,141.509433962264,424
24.92,189.873417721517,316.000000000003
25.328,147.058823529413,407.999999999998
25.692,164.835164835164,364.000000000001
26.072,157.894736842106,379.999999999999
26.476,148.514851485149,404
27.152,154.639175257731,388.000000000002
27.496,174.418604651164,343.999999999998
27.84,174.418604651162,344.000000000001
28.228,154.639175257731,388.000000000002
28.576,172.413793103449,347.999999999999
28.944,163.04347826087,367.999999999999
29.332,154.639175257731,388.000000000002
29.7,163.04347826087,367.999999999999
30.068,163.043478260869,368.000000000002
30.456,154.639175257733,387.999999999998
30.824,163.043478260869,368.000000000002
31.216,153.061224489796,391.999999999999
31.58,164.835164835166,363.999999999997
31.944,164.835164835164,364.000000000001
32.328,156.249999999998,384.000000000004
32.716,154.639175257733,387.999999999998
33.092,159.574468085107,375.999999999998
33.464,161.290322580645,372
33.86,151.515151515151,396.000000000001
34.244,156.25,384
34.632,154.639175257733,387.999999999998
35.008,159.574468085104,376.000000000005
35.372,164.835164835166,363.999999999997
35.744,161.290322580645,372
36.144,150.000000000001,399.999999999999
36.52,159.574468085104,376.000000000005
36.948,140.186915887851,427.999999999997
37.344,151.515151515151,396.000000000001
37.716,161.290322580645,372
38.088,161.290322580645,372
38.48,153.061224489798,391.999999999996
38.868,154.63917525773,388.000000000005
39.24,161.290322580645,372
39.616,159.574468085107,375.999999999998
40.016,150.000000000001,399.999999999999
40.38,164.835164835163,364.000000000004
40.764,156.25,384
41.16,151.515151515154,395.999999999994
41.528,163.043478260869,368.000000000002
41.88,170.454545454544,352.000000000004
42.272,153.061224489798,391.999999999996
42.648,159.574468085104,376.000000000005
43.004,168.539325842699,355.999999999995
43.412,147.058823529411,408.000000000001
43.772,166.666666666667,359.999999999999
44.128,168.539325842696,356.000000000002
44.492,164.835164835166,363.999999999997
44.876,156.25,384
45.24,164.835164835163,364.000000000004
45.608,163.043478260872,367.999999999995
46.008,149.999999999998,400.000000000006
47.116,168.539325842696,356.000000000002
48.26,161.290322580645,372
48.584,185.185185185182,324.000000000005
48.96,159.574468085107,375.999999999998
49.376,144.23076923077,415.999999999997
49.82,135.135135135134,444.000000000003
50.144,185.185185185186,323.999999999998
50.508,164.835164835163,364.000000000004
50.892,156.25,384
51.24,172.413793103449,347.999999999999
51.604,164.835164835166,363.999999999997
51.988,156.25,384
52.352,164.835164835166,363.999999999997
52.736,156.25,384
53.104,163.043478260869,368.000000000002
53.456,170.454545454544,352.000000000004
53.847,153.452685421996,390.999999999998
54.223,159.574468085107,375.999999999998
54.584,166.204986149583,361.000000000004
54.984,150.000000000001,399.999999999999
55.34,168.539325842696,356.000000000002
55.788,133.928571428573,447.999999999993
56.476,159.574468085107,375.999999999998
56.868,153.061224489795,392.000000000003
